"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-06-27,0,0,0,4.02648275227352e-05,0,0.000112996752440984,0,0,0,0,0,0,0
2021-06-28,0,0,0,4.17028570771186e-05,0,0.00011484537006783,0,0,0,0,0,0,0
2021-06-29,0,0,0,4.67359605174606e-05,0,0.000119697991338302,0,0,0,0,0,0,0
2021-06-30,0,0,0,5.03310344034191e-05,0,0.000125705998625553,0,0,0,0,0,0,0
2021-07-01,0,0,0,5.10500491806108e-05,0,0.000138530783411799,0,0,0,0,0,0,0
2021-07-02,0,0,0,5.17690639578025e-05,0,0.000146040792520863,0,0,0,0,0,0,0
2021-07-03,0,0,0,5.32070935121859e-05,0,0.000153204185824892,0,0,0,0,0,0,0
2021-07-04,0,0,0,5.5364137843761e-05,0,0.000158056807095364,0,0,0,0,0,0,0
2021-07-05,0,0,0,5.5364137843761e-05,0,0.000221718576619886,0,0,0,0,0,0,0
2021-07-06,0,0,0,5.60831526209527e-05,0,0.000282954035509172,0,0,0,0,0,0,0
2021-07-07,0,0,0,5.75211821753361e-05,0,0.00029346804826186,0,0,0,0,0,0,0
2021-07-08,0,0,0,5.82401969525278e-05,0,0.000303866522412871,0,0,0,0,0,0,0
2021-07-09,0,0,0,6.03972412841029e-05,0,0.000311260992920257,0,0,0,0,0,0,0
2021-07-10,0,0,0,6.18352708384863e-05,0,0.000319117617834354,0,0,0,0,0,0,0
2021-07-11,0,0,0,6.2554285615678e-05,0,0.000323508084698114,0,0,0,0,0,0,0
2021-07-12,0,0,0,6.32733003928697e-05,0,0.000327089781350129,0,0,0,0,0,0,0
2021-07-13,0,0,0,6.54303447244448e-05,0,0.0003319424026206,0,0,0,0,0,0,0
2021-07-14,0,0,0,6.61493595016365e-05,0,0.000339221334526308,0,0,0,0,0,0,0
2021-07-15,0,0,0,7.11824629419784e-05,0,0.000346615805033693,0,0,0,0,0,0,0
2021-07-16,0,0,0,7.33395072735535e-05,0,0.000353432582532689,0,0,0,0,0,0,0
